TIME GRAPH   ORDER   SIZE    AG
0.01373	   Digraph	022	180	      bell	
0.01039	   Digraph	022	180	      bell	
0.01722	   Digraph	022	180	      bell	
0.00990	   Digraph	022	180	      bell	
0.01861	   Digraph	022	180	      bell	
0.00974	   Digraph	022	180	      bell	
0.01381	   Digraph	022	180	      bell	
0.00965	   Digraph	022	180	      bell	
0.01372	   Digraph	022	180	      bell	
0.01759	   Digraph	022	180	      bell	
0.00970	   Digraph	022	180	      bell	
0.01773	   Digraph	022	180	      bell	
0.00988	   Digraph	022	180	      bell	
0.01782	   Digraph	022	180	      bell	
0.01004	   Digraph	022	180	      bell	
0.01407	   Digraph	022	180	      bell	
0.00933	   Digraph	022	180	      bell	
0.01565	   Digraph	022	180	      bell	
0.01344	   Digraph	022	180	      bell	
0.01465	   Digraph	022	180	      bell	
0.01439	   Digraph	022	180	      bell	
0.01436	   Digraph	022	180	      bell	
0.01430	   Digraph	022	180	      bell	
0.00920	   Digraph	022	180	      bell	
0.01479	   Digraph	022	180	      bell	
0.00949	   Digraph	022	180	      bell	
0.01700	   Digraph	022	180	      bell	
0.00852	   Digraph	022	180	      bell	
0.01309	   Digraph	022	180	      bell	
0.00971	   Digraph	022	180	      bell	
0.01513	   Digraph	022	180	      bell	
0.00988	   Digraph	022	180	      bell	
0.01449	   Digraph	022	180	      bell	
0.01467	   Digraph	022	180	      bell	
0.00951	   Digraph	022	180	      bell	
0.01480	   Digraph	022	180	      bell	
0.01006	   Digraph	022	180	      bell	
0.01538	   Digraph	022	180	      bell	
0.00975	   Digraph	022	180	      bell	
0.01459	   Digraph	022	180	      bell	
0.00990	   Digraph	022	180	      bell	
0.01662	   Digraph	022	180	      bell	
0.01332	   Digraph	022	180	      bell	
0.01821	   Digraph	022	180	      bell	
0.01710	   Digraph	022	180	      bell	
