REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.00065	0.00137	0.00048	0.01429	   Digraph	112	180	     fbell	
100	0.00304	0.00067	0.00284	0.00784	   Digraph	112	180	      dijk	
100	0.08440	0.00297	0.08106	0.09620	   Digraph	113	180	      bell	
100	0.00052	0.00045	0.00046	0.00495	   Digraph	113	180	     fbell	
100	0.00304	0.00066	0.00281	0.00789	   Digraph	113	180	      dijk	
100	0.08421	0.00319	0.08085	0.09565	   Digraph	114	180	      bell	
100	0.00061	0.00044	0.00054	0.00497	   Digraph	114	180	     fbell	
100	0.00313	0.00065	0.00291	0.00772	   Digraph	114	180	      dijk	
100	0.08517	0.00273	0.08137	0.09601	   Digraph	115	180	      bell	
100	0.00062	0.00128	0.00043	0.01253	   Digraph	115	180	     fbell	
100	0.00280	0.00065	0.00259	0.00750	   Digraph	115	180	      dijk	
100	0.08730	0.00271	0.08386	0.09593	   Digraph	116	180	      bell	
100	0.00068	0.00142	0.00047	0.01400	   Digraph	116	180	     fbell	
100	0.00296	0.00065	0.00276	0.00750	   Digraph	116	180	      dijk	
100	0.08765	0.00268	0.08453	0.09651	   Digraph	117	180	      bell	
100	0.00064	0.00091	0.00054	0.00972	   Digraph	117	180	     fbell	
100	0.00303	0.00063	0.00278	0.00753	   Digraph	117	180	      dijk	
100	0.09391	0.00620	0.08562	0.11686	   Digraph	118	180	      bell	
100	0.00017	0.00001	0.00016	0.00024	   Digraph	118	180	     fbell	
100	0.00217	0.00064	0.00193	0.00653	   Digraph	118	180	      dijk	
100	0.09147	0.00273	0.08547	0.10048	   Digraph	119	180	      bell	
100	0.00017	0.00001	0.00016	0.00023	   Digraph	119	180	     fbell	
100	0.00220	0.00150	0.00193	0.01642	   Digraph	119	180	      dijk	
100	0.09313	0.00274	0.08802	0.10164	   Digraph	120	180	      bell	
100	0.00049	0.00046	0.00042	0.00507	   Digraph	120	180	     fbell	
100	0.00321	0.00156	0.00284	0.01720	   Digraph	120	180	      dijk	
100	0.10385	0.00119	0.10303	0.11084	   Digraph	121	180	      bell	
100	0.00040	0.00002	0.00038	0.00049	   Digraph	121	180	     fbell	
100	0.00291	0.00157	0.00256	0.01706	   Digraph	121	180	      dijk	
100	0.09516	0.00289	0.09072	0.10747	   Digraph	122	180	      bell	
100	0.00048	0.00003	0.00045	0.00068	   Digraph	122	180	     fbell	
100	0.00304	0.00065	0.00280	0.00766	   Digraph	122	180	      dijk	
100	0.09564	0.00279	0.09163	0.10701	   Digraph	123	180	      bell	
100	0.00048	0.00002	0.00046	0.00057	   Digraph	123	180	     fbell	
100	0.00317	0.00081	0.00289	0.00788	   Digraph	123	180	      dijk	
100	0.09838	0.00165	0.09621	0.10732	   Digraph	124	180	      bell	
100	0.00018	0.00002	0.00016	0.00024	   Digraph	124	180	     fbell	
100	0.00226	0.00066	0.00202	0.00693	   Digraph	124	180	      dijk	
100	0.09836	0.00225	0.09373	0.10683	   Digraph	125	180	      bell	
100	0.00063	0.00046	0.00056	0.00524	   Digraph	125	180	     fbell	
100	0.00330	0.00163	0.00286	0.01731	   Digraph	125	180	      dijk	
100	0.09841	0.00186	0.09718	0.10435	   Digraph	126	180	      bell	
100	0.00018	0.00001	0.00017	0.00024	   Digraph	126	180	     fbell	
100	0.00235	0.00171	0.00202	0.01817	   Digraph	126	180	      dijk	
100	0.09946	0.00219	0.09711	0.10641	   Digraph	127	180	      bell	
100	0.00019	0.00001	0.00018	0.00024	   Digraph	127	180	     fbell	
100	0.00241	0.00182	0.00206	0.01940	   Digraph	127	180	      dijk	
100	0.09888	0.00173	0.09406	0.10791	   Digraph	128	180	      bell	
100	0.00061	0.00099	0.00050	0.01046	   Digraph	128	180	     fbell	
100	0.00322	0.00081	0.00290	0.00814	   Digraph	128	180	      dijk	
100	0.10038	0.00164	0.09541	0.10728	   Digraph	129	180	      bell	
100	0.00051	0.00044	0.00044	0.00487	   Digraph	129	180	     fbell	
100	0.00338	0.00145	0.00299	0.01626	   Digraph	129	180	      dijk	
100	0.10381	0.00432	0.09927	0.12856	   Digraph	130	180	      bell	
100	0.00026	0.00044	0.00020	0.00460	   Digraph	130	180	     fbell	
100	0.00245	0.00067	0.00221	0.00711	   Digraph	130	180	      dijk	
100	0.10289	0.00230	0.10133	0.11441	   Digraph	131	180	      bell	
100	0.00037	0.00002	0.00035	0.00043	   Digraph	131	180	     fbell	
100	0.00302	0.00078	0.00271	0.00747	   Digraph	131	180	      dijk	
100	0.10426	0.00210	0.10244	0.11040	   Digraph	132	180	      bell	
100	0.00040	0.00002	0.00038	0.00045	   Digraph	132	180	     fbell	
100	0.00318	0.00149	0.00281	0.01649	   Digraph	132	180	      dijk	
100	0.10613	0.00296	0.10207	0.11802	   Digraph	133	180	      bell	
100	0.00020	0.00001	0.00018	0.00028	   Digraph	133	180	     fbell	
100	0.00243	0.00064	0.00218	0.00679	   Digraph	133	180	      dijk	
100	0.10533	0.00263	0.10271	0.11631	   Digraph	134	180	      bell	
100	0.00067	0.00044	0.00060	0.00509	   Digraph	134	180	     fbell	
100	0.00342	0.00065	0.00319	0.00801	   Digraph	134	180	      dijk	
