0.00049	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00049	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00053	   Digraph	005	011	  dijkstra	
0.00058	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00053	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00050	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00046	   Digraph	005	011	  dijkstra	
0.00055	   Digraph	005	011	  dijkstra	
0.00056	   Digraph	005	011	  dijkstra	
0.00054	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00049	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00050	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00068	   Digraph	005	011	  dijkstra	
0.00065	   Digraph	005	011	  dijkstra	
0.00070	   Digraph	005	011	  dijkstra	
0.00090	   Digraph	005	011	  dijkstra	
0.00094	   Digraph	005	011	  dijkstra	
0.00072	   Digraph	005	011	  dijkstra	
0.00049	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00049	   Digraph	005	011	  dijkstra	
0.00049	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00059	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00519	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00046	   Digraph	005	011	  dijkstra	
0.00049	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00050	   Digraph	005	011	  dijkstra	
0.00046	   Digraph	005	011	  dijkstra	
0.00050	   Digraph	005	011	  dijkstra	
0.00048	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00049	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00035	   Digraph	005	011	     floyd	
0.00038	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00036	   Digraph	005	011	     floyd	
0.00030	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00037	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00030	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00036	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00030	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00035	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00030	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00040	   Digraph	005	011	     floyd	
0.00030	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00052	   Digraph	005	011	     floyd	
0.00051	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00035	   Digraph	005	011	     floyd	
0.00035	   Digraph	005	011	     floyd	
0.00036	   Digraph	005	011	     floyd	
0.00038	   Digraph	005	011	     floyd	
0.00035	   Digraph	005	011	     floyd	
0.00036	   Digraph	005	011	     floyd	
0.00031	   Digraph	005	011	     floyd	
0.00035	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00039	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00037	   Digraph	005	011	     floyd	
0.00041	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00032	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00035	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00043	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00037	   Digraph	005	011	     floyd	
0.00036	   Digraph	005	011	     floyd	
0.00035	   Digraph	005	011	     floyd	
0.00040	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00036	   Digraph	005	011	     floyd	
0.00040	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00038	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00033	   Digraph	005	011	     floyd	
0.00040	   Digraph	005	011	     floyd	
0.00039	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00037	   Digraph	005	011	     floyd	
0.00037	   Digraph	005	011	     floyd	
0.00035	   Digraph	005	011	     floyd	
0.00038	   Digraph	005	011	     floyd	
0.00034	   Digraph	005	011	     floyd	
0.00652	   Digraph	005	012	   bellman	
0.00145	   Digraph	005	012	   bellman	
0.00127	   Digraph	005	012	   bellman	
0.00122	   Digraph	005	012	   bellman	
0.00163	   Digraph	005	012	   bellman	
0.00146	   Digraph	005	012	   bellman	
0.00138	   Digraph	005	012	   bellman	
0.00136	   Digraph	005	012	   bellman	
0.00135	   Digraph	005	012	   bellman	
0.00141	   Digraph	005	012	   bellman	
0.00135	   Digraph	005	012	   bellman	
0.00129	   Digraph	005	012	   bellman	
0.00125	   Digraph	005	012	   bellman	
