AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00201	0.00023	0.00191	0.00418	   Digraph	050	131	       bin	
0.00134	0.00003	0.00130	0.00141	   Digraph	050	131	       vec	
0.00183	0.00017	0.00174	0.00341	   Digraph	050	132	      fibo	
0.00193	0.00003	0.00187	0.00199	   Digraph	050	132	       bin	
0.00134	0.00004	0.00130	0.00148	   Digraph	050	132	       vec	
0.00184	0.00021	0.00176	0.00391	   Digraph	050	133	      fibo	
0.00191	0.00006	0.00183	0.00227	   Digraph	050	133	       bin	
0.00134	0.00007	0.00130	0.00198	   Digraph	050	133	       vec	
0.00122	0.00004	0.00115	0.00137	   Digraph	050	134	      fibo	
0.00091	0.00003	0.00084	0.00096	   Digraph	050	134	       bin	
0.00120	0.00021	0.00112	0.00329	   Digraph	050	134	       vec	
0.00184	0.00005	0.00176	0.00200	   Digraph	050	135	      fibo	
0.00200	0.00004	0.00192	0.00206	   Digraph	050	135	       bin	
0.00135	0.00003	0.00131	0.00141	   Digraph	050	135	       vec	
0.00178	0.00008	0.00171	0.00253	   Digraph	050	136	      fibo	
0.00196	0.00021	0.00188	0.00398	   Digraph	050	136	       bin	
0.00135	0.00004	0.00130	0.00147	   Digraph	050	136	       vec	
0.00128	0.00004	0.00120	0.00144	   Digraph	050	137	      fibo	
0.00093	0.00003	0.00087	0.00099	   Digraph	050	137	       bin	
0.00119	0.00003	0.00112	0.00123	   Digraph	050	137	       vec	
0.00194	0.00022	0.00183	0.00405	   Digraph	050	138	      fibo	
0.00206	0.00004	0.00198	0.00214	   Digraph	050	138	       bin	
0.00137	0.00003	0.00133	0.00144	   Digraph	050	138	       vec	
0.00182	0.00004	0.00175	0.00199	   Digraph	050	139	      fibo	
0.00199	0.00002	0.00193	0.00203	   Digraph	050	139	       bin	
0.00136	0.00003	0.00131	0.00142	   Digraph	050	139	       vec	
0.00192	0.00005	0.00185	0.00217	   Digraph	050	140	      fibo	
0.00202	0.00004	0.00194	0.00208	   Digraph	050	140	       bin	
0.00137	0.00004	0.00133	0.00144	   Digraph	050	140	       vec	
0.00180	0.00004	0.00174	0.00198	   Digraph	050	141	      fibo	
0.00202	0.00021	0.00191	0.00410	   Digraph	050	141	       bin	
0.00135	0.00003	0.00130	0.00142	   Digraph	050	141	       vec	
0.00190	0.00006	0.00182	0.00220	   Digraph	050	142	      fibo	
0.00202	0.00004	0.00193	0.00215	   Digraph	050	142	       bin	
0.00135	0.00003	0.00131	0.00142	   Digraph	050	142	       vec	
0.00193	0.00005	0.00185	0.00214	   Digraph	050	143	      fibo	
0.00200	0.00004	0.00191	0.00205	   Digraph	050	143	       bin	
0.00136	0.00004	0.00132	0.00143	   Digraph	050	143	       vec	
0.00191	0.00004	0.00183	0.00210	   Digraph	050	144	      fibo	
0.00203	0.00004	0.00195	0.00211	   Digraph	050	144	       bin	
0.00136	0.00003	0.00132	0.00143	   Digraph	050	144	       vec	
0.00186	0.00021	0.00179	0.00389	   Digraph	050	145	      fibo	
0.00208	0.00004	0.00200	0.00214	   Digraph	050	145	       bin	
0.00193	0.00553	0.00133	0.05692	   Digraph	050	145	       vec	
0.00183	0.00005	0.00180	0.00207	   Digraph	050	146	      fibo	
0.00197	0.00008	0.00194	0.00257	   Digraph	050	146	       bin	
0.00134	0.00002	0.00132	0.00151	   Digraph	050	146	       vec	
0.00191	0.00004	0.00188	0.00208	   Digraph	050	147	      fibo	
0.00205	0.00022	0.00198	0.00425	   Digraph	050	147	       bin	
0.00137	0.00004	0.00133	0.00156	   Digraph	050	147	       vec	
0.00192	0.00007	0.00183	0.00221	   Digraph	050	148	      fibo	
0.00202	0.00006	0.00192	0.00239	   Digraph	050	148	       bin	
0.00136	0.00003	0.00132	0.00142	   Digraph	050	148	       vec	
0.00199	0.00041	0.00184	0.00530	   Digraph	050	149	      fibo	
0.00211	0.00004	0.00204	0.00240	   Digraph	050	149	       bin	
0.00138	0.00006	0.00134	0.00172	   Digraph	050	149	       vec	
0.00188	0.00006	0.00179	0.00213	   Digraph	050	150	      fibo	
0.00206	0.00022	0.00197	0.00418	   Digraph	050	150	       bin	
