0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00013	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00013	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00013	   Digraph	005	012	      dijk	
0.00044	   Digraph	005	013	      bell	
0.00028	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00027	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00028	   Digraph	005	013	      bell	
0.00027	   Digraph	005	013	      bell	
0.00027	   Digraph	005	013	      bell	
0.00027	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00031	   Digraph	005	013	      bell	
0.00029	   Digraph	005	013	      bell	
0.00030	   Digraph	005	013	      bell	
0.00028	   Digraph	005	013	      bell	
0.00469	   Digraph	005	013	      bell	
0.00030	   Digraph	005	013	      bell	
0.00028	   Digraph	005	013	      bell	
0.00024	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00038	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00028	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00024	   Digraph	005	013	      bell	
0.00024	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00024	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00022	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00029	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00033	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00031	   Digraph	005	013	      bell	
0.00024	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00034	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00026	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00029	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00027	   Digraph	005	013	      bell	
0.00024	   Digraph	005	013	      bell	
0.00055	   Digraph	005	013	      bell	
0.00023	   Digraph	005	013	      bell	
0.00025	   Digraph	005	013	      bell	
0.00024	   Digraph	005	013	      bell	
0.00024	   Digraph	005	013	      bell	
0.00031	   Digraph	005	013	      bell	
0.00037	   Digraph	005	013	      bell	
0.00033	   Digraph	005	013	      bell	
0.00032	   Digraph	005	013	      bell	
